date,state,fips,cases_state,deaths_state,cases_national,deaths_national,month,FIPS Code,Year,Civilian non-institutional population,Labor_Force_Total,Labor_Force_Percent_of_Population,Employment_Labor_Force,Employment_Percent_of_Population,Unemployment_Total,Unemployment_Rate
2020-01-21,Washington,53,1,0,1,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
2020-01-22,Washington,53,1,0,1,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
2020-01-23,Washington,53,1,0,1,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
2020-01-24,Illinois,17,1,0,2,0,1,17.0,2020.0,"9,991,645   ","6,417,226   ",64.2,"6,189,437   ",61.9,"227,789   ",3.5
2020-01-24,Washington,53,1,0,2,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
2020-01-25,California,6,1,0,3,0,1,6.0,2020.0,"31,176,732   ","19,509,644   ",62.6,"18,756,375   ",60.2,"753,269   ",3.9
2020-01-25,Illinois,17,1,0,3,0,1,17.0,2020.0,"9,991,645   ","6,417,226   ",64.2,"6,189,437   ",61.9,"227,789   ",3.5
2020-01-25,Washington,53,1,0,3,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
2020-01-26,Arizona,4,1,0,5,0,1,4.0,2020.0,"5,777,677   ","3,604,805   ",62.4,"3,442,732   ",59.6,"162,073   ",4.5
2020-01-26,California,6,2,0,5,0,1,6.0,2020.0,"31,176,732   ","19,509,644   ",62.6,"18,756,375   ",60.2,"753,269   ",3.9
2020-01-26,Illinois,17,1,0,5,0,1,17.0,2020.0,"9,991,645   ","6,417,226   ",64.2,"6,189,437   ",61.9,"227,789   ",3.5
2020-01-26,Washington,53,1,0,5,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
2020-01-27,Arizona,4,1,0,5,0,1,4.0,2020.0,"5,777,677   ","3,604,805   ",62.4,"3,442,732   ",59.6,"162,073   ",4.5
2020-01-27,California,6,2,0,5,0,1,6.0,2020.0,"31,176,732   ","19,509,644   ",62.6,"18,756,375   ",60.2,"753,269   ",3.9
2020-01-27,Illinois,17,1,0,5,0,1,17.0,2020.0,"9,991,645   ","6,417,226   ",64.2,"6,189,437   ",61.9,"227,789   ",3.5
2020-01-27,Washington,53,1,0,5,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
2020-01-28,Arizona,4,1,0,5,0,1,4.0,2020.0,"5,777,677   ","3,604,805   ",62.4,"3,442,732   ",59.6,"162,073   ",4.5
2020-01-28,California,6,2,0,5,0,1,6.0,2020.0,"31,176,732   ","19,509,644   ",62.6,"18,756,375   ",60.2,"753,269   ",3.9
2020-01-28,Illinois,17,1,0,5,0,1,17.0,2020.0,"9,991,645   ","6,417,226   ",64.2,"6,189,437   ",61.9,"227,789   ",3.5
2020-01-28,Washington,53,1,0,5,0,1,53.0,2020.0,"6,066,011   ","3,955,240   ",65.2,"3,799,772   ",62.6,"155,468   ",3.9
